"Doyle_ A_SCANDAL_IN_BOHEMIA" "Doyle_hound_of_the_baskervilles" "Doyle_sign_of_the_four" "Doyle_study_in_scarlett" "Doyle_THE_VALLEY_OF_FEAR" "gaiman_study_in_emerald" "lovecraft__Beyond_the_Wall_of_Sleep" "lovecraft_At_the_Mountains_of_Madness" "lovecraft_Azathoth" "lovecraft_Celephais" "lovecraft_History_of_the_Necronomicon" "lovecraft_The_dunwich_terror"
"which" 0.629218624871296 0.693716624245146 0.54835039817975 0.715385311962329 0.519898391193903 0.149981252343457 0.668819188191882 0.668819188191882 0.668819188191882 0.668819188191882 0.668819188191882 0.668819188191882
"but" 0.617778286237273 0.667099199813678 0.627986348122867 0.432400615774699 0.635055038103302 0.474940632420947 0.714944649446494 0.714944649446494 0.714944649446494 0.714944649446494 0.714944649446494 0.714944649446494
"do" 0.572016931701178 0.675417144948512 0.502844141069397 0.561441637236258 0.653683319220999 0.812398450193726 0.345940959409594 0.345940959409594 0.345940959409594 0.345940959409594 0.345940959409594 0.345940959409594
"say" 0.446173206726919 0.529021310575435 0.609783845278726 0.545594494249751 0.731583403895004 1.16235470566179 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144
"this" 0.434732868092896 0.565620269168705 0.514220705346985 0.50031694285973 0.545300592718036 0.374953130858643 0.415129151291513 0.415129151291513 0.415129151291513 0.415129151291513 0.415129151291513 0.415129151291513
"there" 0.388971513556801 0.520703365440602 0.525597269624573 0.584080412931269 0.560541913632515 0.437445319335083 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"man" 0.354650497654731 0.377634709121459 0.409556313993174 0.423345105496695 0.619813717188823 0.674915635545557 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125
"from" 0.537695915799108 0.479113639766432 0.370875995449374 0.418817350357693 0.42506350550381 0.599925009373828 0.599630996309963 0.599630996309963 0.599630996309963 0.599630996309963 0.599630996309963 0.599630996309963
"on" 0.343210159020707 0.394270599391126 0.42320819112628 0.52069184098524 0.421676545300593 0.5249343832021 0.530442804428044 0.530442804428044 0.530442804428044 0.530442804428044 0.530442804428044 0.530442804428044
"no" 0.194485756778401 0.440851092146196 0.445961319681456 0.400706329801684 0.45385266723116 0.249968753905762 0.276752767527675 0.276752767527675 0.276752767527675 0.276752767527675 0.276752767527675 0.276752767527675
"one" 0.308889143118636 0.414233667714728 0.398179749715586 0.378067554106674 0.406435224386113 0.374953130858643 0.276752767527675 0.276752767527675 0.276752767527675 0.276752767527675 0.276752767527675 0.276752767527675
"all" 0.331769820386683 0.357671640797857 0.42320819112628 0.421081227927194 0.386113463166808 0.26246719160105 0.322878228782288 0.322878228782288 0.322878228782288 0.322878228782288 0.322878228782288 0.322878228782288
"upon" 0.286008465850589 0.522366954467568 0.439135381114903 0.448247758761206 0.247248094834886 0.0499937507811524 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845
"would" 0.228806772680471 0.327727038312455 0.323094425483504 0.310151227021643 0.48264182895851 0.362454693163355 0.322878228782288 0.322878228782288 0.322878228782288 0.322878228782288 0.322878228782288 0.322878228782288
"so" 0.274568127216566 0.405915722579894 0.354948805460751 0.362220411120167 0.406435224386113 0.187476565429321 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756
"by" 0.354650497654731 0.35101728468999 0.304891922639363 0.362220411120167 0.359017781541067 0.299962504686914 0.392066420664207 0.392066420664207 0.392066420664207 0.392066420664207 0.392066420664207 0.392066420664207
"will" 0.423292529458872 0.349353695663023 0.254835039817975 0.316942859730146 0.555461473327688 0.387451568553931 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
"an" 0.377531174922778 0.336044983447289 0.334470989761092 0.294304084035135 0.303132938187976 0.32495938007749 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125
"come" 0.274568127216566 0.314418326096721 0.325369738339022 0.375803676537173 0.399661303979678 0.249968753905762 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845 0.18450184501845
"if" 0.286008465850589 0.344362928582123 0.327645051194539 0.233179389658607 0.403048264182896 0.337457817772778 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756
"what" 0.366090836288754 0.349353695663023 0.273037542662116 0.287512451326632 0.403048264182896 0.349956255468066 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144
"see" 0.354650497654731 0.374307531067525 0.332195676905574 0.32599837000815 0.313293818797629 0.249968753905762 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838 0.138376383763838
"could" 0.286008465850589 0.337708572474256 0.325369738339022 0.224123879380603 0.250635055038103 0.124984376952881 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125
"when" 0.354650497654731 0.237893230856249 0.216154721274175 0.319206737299647 0.306519898391194 0.237470316210474 0.345940959409594 0.345940959409594 0.345940959409594 0.345940959409594 0.345940959409594 0.345940959409594
"know" 0.286008465850589 0.306100380961887 0.273037542662116 0.233179389658607 0.309906858594412 0.174978127734033 0.230627306273063 0.230627306273063 0.230627306273063 0.230627306273063 0.230627306273063 0.230627306273063
"or" 0.274568127216566 0.217930162532648 0.241183162684869 0.262609798062121 0.245554614733277 0.26246719160105 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125 0.461254612546125
"s" 0.194485756778401 0.271165011395585 0.284414106939704 0.289776328896133 0.262489415749365 0.399950006249219 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144 0.161439114391144
"may" 0.366090836288754 0.317745504150655 0.279863481228669 0.199221226116092 0.2692633361558 0.174978127734033 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756 0.207564575645756
"out" 0.308889143118636 0.282810134584352 0.329920364050057 0.271665308340125 0.257408975444539 0.287464066991626 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125 0.0461254612546125
